n_components,accuracy,train_time,cum_explained_var,recon_mse
10,0.884,0.3016049861907959,0.30759654705943107,57.94350560037104
20,0.918,0.3577251434326172,0.424239790482531,57.806715179010006
30,0.916,0.4611625671386719,0.5062484430576025,57.6642728852088
40,0.924,0.49614644050598145,0.5677300037041799,57.47773785332055
50,0.922,0.5949039459228516,0.6175737132601128,56.45399727244982
60,0.928,0.6473135948181152,0.6592862230535388,49.770868114122194
70,0.926,0.6748659610748291,0.6954440708354336,44.81050389646588
80,0.928,0.6692299842834473,0.7253780735111826,37.86775752744894
90,0.921,0.7928774356842041,0.7537547608697387,33.52559826094543
100,0.926,0.8071019649505615,0.777799650712525,31.772998103160383
